model,tau,pinball_loss,expectile_loss,quantile_r_squared,expectile_r_squared,target,label
QRNN,0.1,0.0016804235056042671,3.377646247188313e-05,0.018562138080596924,-0.21894270909057045,msci_materials_return,exclude_covid
QRF,0.1,0.0015692331063027701,2.6155343250864804e-05,0.08350199791186208,0.0560922421658977,msci_materials_return,exclude_covid
Q-GBM,0.1,0.001585921324993334,2.751901624846162e-05,0.07375537771446694,0.006879295150263975,msci_materials_return,exclude_covid
ERNN,0.1,0.001782095874659717,3.245777335956738e-05,-0.04081881046295166,-0.17135316414185153,msci_materials_return,exclude_covid
L-ER,0.25,0.0026831908617168665,3.3857583167925664e-05,0.0370556116104126,0.11563434144921769,msci_materials_return,exclude_covid
QRNN,0.25,0.0026758830063045025,3.553459231082865e-05,0.03967827558517456,0.07183058594477709,msci_materials_return,exclude_covid
QRF,0.25,0.0026704744578852882,3.35518712292068e-05,0.04161928186953401,0.1236195877283458,msci_materials_return,exclude_covid
Q-GBM,0.25,0.0027277654659827763,3.6320298911039215e-05,0.021058666762071465,0.051307799912572394,msci_materials_return,exclude_covid
ERNN,0.25,0.0027371388860046864,3.538324441431475e-05,0.017694711685180664,0.07578381797279687,msci_materials_return,exclude_covid
L-ER,0.5,0.0033206443767994642,3.891761813503923e-05,0.017928123474121094,0.07462914297638701,msci_materials_return,exclude_covid
QRNN,0.5,0.0033316791523247957,3.956085053848624e-05,0.014664649963378906,0.05933456563669082,msci_materials_return,exclude_covid
QRF,0.5,0.003312028074782048,3.937771822330959e-05,0.020476391390254034,0.06368902810291155,msci_materials_return,exclude_covid
Q-GBM,0.5,0.0033429904201951804,4.033064241578712e-05,0.011319359014527963,0.0410306970197577,msci_materials_return,exclude_covid
ERNN,0.5,0.003320684190839529,3.886780756393418e-05,0.017916381359100342,0.0758135230356285,msci_materials_return,exclude_covid
L-ER,0.75,0.0026810714043676853,3.1985729892411186e-05,-0.00264739990234375,0.0556746663315566,msci_materials_return,exclude_covid
QRNN,0.75,0.0027007346507161856,3.6819538369237565e-05,-0.010000824928283691,-0.0870354677852021,msci_materials_return,exclude_covid
QRF,0.75,0.0026258002479368626,3.4499704661152016e-05,0.018022554272809965,-0.018546246253854815,msci_materials_return,exclude_covid
Q-GBM,0.75,0.0026518413442432587,3.388636917291538e-05,0.008283896789255119,-0.0004385388003140811,msci_materials_return,exclude_covid
ERNN,0.75,0.0026735824067145586,3.231060477724135e-05,0.00015336275100708008,0.04608327713863636,msci_materials_return,exclude_covid
L-ER,0.9,0.0015174128348007798,1.9946940049295173e-05,0.013837218284606934,0.06403901973106696,msci_materials_return,exclude_covid
QRNN,0.9,0.0014599476708099246,2.314924471157682e-05,0.05118370056152344,-0.0862212308849073,msci_materials_return,exclude_covid
QRF,0.9,0.001492559859479546,2.307261548056676e-05,0.02998913266520653,-0.08262559315820917,msci_materials_return,exclude_covid
Q-GBM,0.9,0.0014829699664664403,2.299851525822628e-05,0.03622157981311136,-0.07914862292776048,msci_materials_return,exclude_covid
ERNN,0.9,0.0014948475873097777,1.9387307844714695e-05,0.028502345085144043,0.09029838109149357,msci_materials_return,exclude_covid
L-ER,0.95,0.0009730009478516877,1.4175912842732128e-05,-0.03231847286224365,0.008045547520372676,msci_materials_return,exclude_covid
QRNN,0.95,0.001172235351987183,2.8212137848846362e-05,-0.2436988353729248,-0.9741342983411414,msci_materials_return,exclude_covid
QRF,0.95,0.0009227371645267443,1.6615512735048923e-05,0.021009596679853693,-0.16266458609145773,msci_materials_return,exclude_covid
Q-GBM,0.95,0.0009277123449300847,1.720544295237719e-05,0.015731112126611713,-0.20394474294788667,msci_materials_return,exclude_covid
ERNN,0.95,0.0009069950901903212,1.3536165532026473e-05,0.037711381912231445,0.0528116377437402,msci_materials_return,exclude_covid
