target,index,model,tau,prediction,actual,pinball
eua_return,1016,L-ER,0.95,0.0264329444617033,-0.015336655080318451,0.0020884801633656025
eua_return,1016,ERNN,0.05,-0.019733518362045288,-0.015336655080318451,0.0002198431611759588
eua_return,1016,ERNN,0.1,-0.019911885261535645,-0.015336655080318451,0.00045752301230095327
eua_return,1016,ERNN,0.5,-0.0028478652238845825,-0.015336655080318451,0.006244394928216934
eua_return,1016,ERNN,0.9,0.024327777326107025,-0.015336655080318451,0.003966443240642548
eua_return,1016,ERNN,0.95,0.020699888467788696,-0.015336655080318451,0.001801827223971486
eua_return,1017,L-ER,0.05,-0.05760468542575836,-0.06431218981742859,0.006372129078954458
eua_return,1017,L-ER,0.1,-0.044116467237472534,-0.06431218981742859,0.01817614957690239
eua_return,1017,L-ER,0.5,-0.006343048065900803,-0.06431218981742859,0.028984570875763893
eua_return,1017,L-ER,0.9,0.01963190548121929,-0.06431218981742859,0.008394409902393818
eua_return,1017,L-ER,0.95,0.02544545754790306,-0.06431218981742859,0.00448788283392787
eua_return,1017,ERNN,0.05,-0.05454760789871216,-0.06431218981742859,0.009276352822780609
eua_return,1017,ERNN,0.1,-0.040752291679382324,-0.06431218981742859,0.02120390720665455
eua_return,1017,ERNN,0.5,-0.004457816481590271,-0.06431218981742859,0.02992718666791916
eua_return,1017,ERNN,0.9,0.016696378588676453,-0.06431218981742859,0.008100857026875019
eua_return,1017,ERNN,0.95,0.024603575468063354,-0.06431218981742859,0.004445788450539112
eua_return,1018,L-ER,0.05,-0.025419514626264572,0.014995014294981956,0.0020207264460623264
eua_return,1018,L-ER,0.1,-0.016526389867067337,0.014995014294981956,0.0031521401833742857
eua_return,1018,L-ER,0.5,0.00990026444196701,0.014995014294981956,0.002547374926507473
eua_return,1018,L-ER,0.9,0.026533417403697968,0.014995014294981956,0.0011538403341546655
eua_return,1018,L-ER,0.95,0.03388809785246849,0.014995014294981956,0.0009446541662327945
eua_return,1018,ERNN,0.05,-0.014840751886367798,0.014995014294981956,0.0014917883090674877
eua_return,1018,ERNN,0.1,-0.023712754249572754,0.014995014294981956,0.0038707770872861147
eua_return,1018,ERNN,0.5,0.004564061760902405,0.014995014294981956,0.005215476267039776
eua_return,1018,ERNN,0.9,0.02863718569278717,0.014995014294981956,0.0013642171397805214
eua_return,1018,ERNN,0.95,0.03198903799057007,0.014995014294981956,0.0008497011731378734
eua_return,1019,L-ER,0.05,-0.044720303267240524,-0.015994390472769737,0.001436295686289668
eua_return,1019,L-ER,0.1,-0.0353555865585804,-0.015994390472769737,0.0019361196318641305
eua_return,1019,L-ER,0.5,-0.005537494085729122,-0.015994390472769737,0.0052284481935203075
eua_return,1019,L-ER,0.9,0.020443517714738846,-0.015994390472769737,0.003643790725618601
eua_return,1019,L-ER,0.95,0.027193326503038406,-0.015994390472769737,0.002159385709092021
eua_return,1019,ERNN,0.05,-0.044586747884750366,-0.015994390472769737,0.0014296178705990314
eua_return,1019,ERNN,0.1,-0.03534786403179169,-0.015994390472769737,0.0019353473326191306
eua_return,1019,ERNN,0.5,-0.006017670035362244,-0.015994390472769737,0.004988360218703747
eua_return,1019,ERNN,0.9,0.019379712641239166,-0.015994390472769737,0.0035374106373637915
eua_return,1019,ERNN,0.95,0.026386260986328125,-0.015994390472769737,0.0021190326660871506
eua_return,1020,L-ER,0.05,-0.03585058078169823,0.006850621663033962,0.0021350602619349957
eua_return,1020,L-ER,0.1,-0.023232445120811462,0.006850621663033962,0.003008306724950671
eua_return,1020,L-ER,0.5,0.009702328592538834,0.006850621663033962,0.0014258534647524357
eua_return,1020,L-ER,0.9,0.030370257794857025,0.006850621663033962,0.002351963659748435
eua_return,1020,L-ER,0.95,0.039156537503004074,0.006850621663033962,0.0016152957687154412
eua_return,1020,ERNN,0.05,-0.032054603099823,0.006850621663033962,0.0019452612614259124
eua_return,1020,ERNN,0.1,-0.024646520614624023,0.006850621663033962,0.003149714320898056
eua_return,1020,ERNN,0.5,0.009229779243469238,0.006850621663033962,0.001189578790217638
eua_return,1020,ERNN,0.9,0.028232604265213013,0.006850621663033962,0.002138198120519519
eua_return,1020,ERNN,0.95,0.03461161255836487,0.006850621663033962,0.0013880495680496097
eua_return,1021,L-ER,0.05,-0.01811959221959114,0.018692132085561752,0.0018405861919745803
eua_return,1021,L-ER,0.1,-0.011775030754506588,0.018692132085561752,0.0030467163305729628
eua_return,1021,L-ER,0.5,0.009688534773886204,0.018692132085561752,0.004501798655837774
eua_return,1021,L-ER,0.9,0.030452851206064224,0.018692132085561752,0.0011760719353333116
eua_return,1021,L-ER,0.95,0.03763563185930252,0.018692132085561752,0.000947175023611635
eua_return,1021,ERNN,0.05,-0.01777788996696472,0.018692132085561752,0.0018235010793432593
eua_return,1021,ERNN,0.1,-0.011926919221878052,0.018692132085561752,0.0030619052704423666
eua_return,1021,ERNN,0.5,0.007417067885398865,0.018692132085561752,0.005637532100081444
eua_return,1021,ERNN,0.9,0.026894450187683105,0.018692132085561752,0.0008202317985706031
eua_return,1021,ERNN,0.95,0.03715217113494873,0.018692132085561752,0.0009230019641108811
eua_return,1022,L-ER,0.05,-0.013876961544156075,-0.01844390109181404,0.004338592290878296
eua_return,1022,L-ER,0.1,-0.00879703089594841,-0.01844390109181404,0.008682182990014553
eua_return,1022,L-ER,0.5,0.005647785495966673,-0.01844390109181404,0.012045843526721
eua_return,1022,L-ER,0.9,0.02298738807439804,-0.01844390109181404,0.004143129102885723
eua_return,1022,L-ER,0.95,0.031435705721378326,-0.01844390109181404,0.0024939803406596184
eua_return,1022,ERNN,0.05,-0.01396256685256958,-0.01844390109181404,0.004257267341017723
eua_return,1022,ERNN,0.1,-0.010774731636047363,-0.01844390109181404,0.006902252323925495
eua_return,1022,ERNN,0.5,0.009623244404792786,-0.01844390109181404,0.014033572748303413
eua_return,1022,ERNN,0.9,0.025227367877960205,-0.01844390109181404,0.0043671270832419395
eua_return,1022,ERNN,0.95,0.032184094190597534,-0.01844390109181404,0.00253139971755445
eua_return,1023,L-ER,0.05,-0.038502972573041916,0.025727255269885063,0.0032115112990140915
eua_return,1023,L-ER,0.1,-0.027886278927326202,0.025727255269885063,0.005361353512853384
eua_return,1023,L-ER,0.5,0.0017446655547246337,0.025727255269885063,0.011991295032203197
eua_return,1023,L-ER,0.9,0.02561609074473381,0.025727255269885063,0.00010004806972574443
eua_return,1023,L-ER,0.95,0.03335120156407356,0.025727255269885063,0.00038119731470942497
eua_return,1023,ERNN,0.05,-0.03618496656417847,0.025727255269885063,0.0030956112314015627
eua_return,1023,ERNN,0.1,-0.023397669196128845,0.025727255269885063,0.004912492819130421
