direction,target,tau,model,pred_mean,pinball_loss,expectile_loss,quantile_r_squared,expectile_r_squared,rmse,mae,elapsed_seconds
碳+股 -> 股能源,msci_energy_return,0.95,L-ER,0.019863467663526535,0.001070965314283967,2.756253025249578e-05,0.22851866483688354,-0.02436884403019879,0.023119378834962845,0.02002863958477974,0.18670415878295898
碳+股 -> 股能源,msci_energy_return,0.95,QRNN,0.022777585312724113,0.001175049226731062,3.299794055412777e-05,0.1535407304763794,-0.22637732861076176,0.025567248463630676,0.022859517484903336,0.5661540031433105
碳+股 -> 股能源,msci_energy_return,0.95,QRF,0.026808468480077046,0.0013670802990943946,4.4005074615990954e-05,0.015209089324429326,-0.6354604240938129,0.02958253369651283,0.026871372356052022,0.4342200756072998
碳+股 -> 股能源,msci_energy_return,0.95,Q-GBM,0.020734738624609617,0.0011038913228794158,2.8917107312370268e-05,0.20480008243450099,-0.07471206449152823,0.023796694199264005,0.020878637533701377,1.3514940738677979
碳+股 -> 股能源,msci_energy_return,0.95,ERNN,0.019607150927186012,0.0011605167528614402,2.8971127657360696e-05,0.16400933265686035,-0.07671974513060698,0.02296539954841137,0.019977059215307236,0.5273897647857666
碳+股 -> 股材料,msci_materials_return,0.05,L-ER,-0.013730361126363277,0.0009452328085899353,1.830790261835338e-05,0.16534405946731567,0.1396754294862812,0.016594737768173218,0.014421806670725346,0.1854100227355957
碳+股 -> 股材料,msci_materials_return,0.05,QRNN,-0.016591805964708328,0.0010075436439365149,2.231119503147598e-05,0.11032259464263916,-0.048447202458890004,0.019332269206643105,0.017121728509664536,0.30443811416625977
碳+股 -> 股材料,msci_materials_return,0.05,QRF,-0.01776977735859008,0.0010412273173211295,2.3961104821615502e-05,0.08057933800289074,-0.12597972823085812,0.020472361208574756,0.018249270522948655,0.43250393867492676
碳+股 -> 股材料,msci_materials_return,0.05,Q-GBM,-0.016303302499532223,0.0010179348105280148,2.1854009699938028e-05,0.1011470004710594,-0.026963159081564214,0.018764856804361695,0.01688285813621035,1.3550291061401367
碳+股 -> 股材料,msci_materials_return,0.05,ERNN,-0.012677611783146858,0.000995905720628798,1.9101347399677665e-05,0.12059903144836426,0.1023898891953442,0.01590304635465145,0.013575678691267967,0.5137758255004883
